Date;Heure;Page;IP;Appareil;Navigateur;Plateforme;Utilisateur;Référent
11/11/2025;01:41:37;admin/visits/recent;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:41:36;admin/visits/device-stats;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:41:35;admin/visits/top-pages;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:41:34;admin/visits/by-hour;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:41:33;admin/visits/stats;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:41:33;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:41:32;admin/visits/by-day;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:41:31;admin/categories/list;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:41:26;admin/visits;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:41:00;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:40:30;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:40:00;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:39:41;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:39:33;admin/categories/list;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:39:32;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:39:21;admin/notifications/manage;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:39:05;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:38:48;admin/notifications/1;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:38:38;admin/categories/list;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:38:37;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/notifications/manage
11/11/2025;01:38:33;admin/notifications/manage;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:38:27;admin/categories/list;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:38:26;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:38:22;admin/invitations;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:38:06;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:37:37;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:37:07;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:36:36;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:36:06;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:35:36;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:35:06;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:34:36;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:34:06;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:33:36;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:33:06;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:32:36;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:32:06;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:31:37;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:31:08;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:31:07;admin/categories/list;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:31:03;admin/invitations;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:30:43;admin/categories/list;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:30:42;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/invitations
11/11/2025;01:30:38;admin/invitations;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/formations/1/details-page
11/11/2025;01:30:14;admin/categories/list;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/formations/1/details-page
11/11/2025;01:30:12;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/formations/1/details-page
11/11/2025;01:30:07;admin/formations/1/details-page;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:29:54;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:29:33;admin/visits/recent;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:29:32;admin/visits/device-stats;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:29:31;admin/visits/top-pages;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:29:30;admin/visits/by-hour;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:29:29;admin/visits/by-day;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:29:28;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:29:28;admin/visits/stats;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:29:27;admin/categories/list;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:29:20;admin/visits;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:28:58;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:28:28;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:28:02;rss;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/clients/formations/show/1
11/11/2025;01:27:59;clients/formations/show/1;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/clients/formations/index
11/11/2025;01:27:58;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:27:40;rss;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/clients/formations/index
11/11/2025;01:27:36;admin/visits/recent;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:27:35;admin/visits/device-stats;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:27:34;clients/formations/index;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/
11/11/2025;01:27:33;admin/visits/top-pages;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:27:32;admin/notifications;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:27:32;admin/visits/by-hour;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:27:31;admin/visits/stats;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:27:30;admin/visits/by-day;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
11/11/2025;01:27:29;admin/categories/list;127.0.0.1;desktop;Edge;Windows;Super;http://127.0.0.1:8000/admin/visits
